Drug	Chemblid	max_phase	formula	synonyms	canonical
BAZEDOXIFENE	CHEMBL46740	4.0	C30H34N2O3	Bazedoxifene;;;Bazedoxifene;;;Bazedoxifene;;;Bazedoxifene	Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12
PRIMIDONE	CHEMBL856	4.0	C12H14N2O2	Lepsiral;;;Liskantin;;;Mysoline;;;Neurosyn;;;NSC-41701;;;Primidone;;;Primidone;;;Primidone;;;Primidone;;;Primidone;;;Primidone;;;Primidone;;;Primidone;;;Primidone;;;Primidone;;;Primidone	CCC1(c2ccccc2)C(=O)NCNC1=O
BIOTIN	CHEMBL857	4.0	C10H16N2O3S	Bioepiderm;;;Biotin;;;Biotin;;;Biotin;;;Biotin;;;Biotin;;;Biotin;;;Biotin;;;Biotin;;;Biotin 100;;;MD-1003;;;NSC-63865;;;Vitamin H	O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
OXYPURINOL	CHEMBL859	4.0	C5H4N4O2	NSC-76239;;;Oxipurinol;;;Oxipurinol;;;Oxipurinol;;;Oxipurinol;;;Oxypurinol;;;Oxypurinol;;;Oxypurinol	O=c1[nH]c(=O)c2c[nH]nc2[nH]1
MEPHENYTOIN	CHEMBL861	4.0	C12H14N2O2	Mephenytoin;;;Mephenytoin;;;Mephenytoin;;;Mephenytoin;;;Mephenytoin;;;Mephenytoin;;;Mephenytoin;;;Mesantoin;;;Methoin	CCC1(c2ccccc2)NC(=O)N(C)C1=O
CARBARIL	CHEMBL46917	4.0	C12H11NO2	Carbaril;;;Carbaril;;;Carbaril;;;Carbaryl;;;Carbaryl;;;Carylderm;;;Clinicide;;;Derbac;;;Derbac-c;;;ENT-23969;;;Suleo-c	CNC(=O)Oc1cccc2ccccc12
GUANFACINE	CHEMBL862	4.0	C9H9Cl2N3O	Guanfacine;;;Guanfacine;;;Guanfacine;;;Guanfacine;;;Guanfacine;;;Guanfacine;;;Guanfacine;;;Intuniv;;;Tenex	N=C(N)NC(=O)Cc1c(Cl)cccc1Cl
CYSTEINE	CHEMBL863	4.0	C3H7NO2S	Cysteine;;;Cysteine;;;Cysteine HCl;;;E920;;;E921	N[C@@H](CS)C(=O)O
FLUSPIRILENE	CHEMBL46516	4.0	C29H31F2N3O	Fluspirilene;;;Fluspirilene;;;Fluspirilene;;;Fluspirilene;;;Fluspirilene;;;Fluspirilene;;;Fluspirilene;;;Imap;;;Imap;;;MCN-JR-6218;;;R 6218;;;R-6218;;;Redeptin;;;Redeptin	O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
CARBINOXAMINE	CHEMBL864	4.0	C16H19ClN2O	Carbinoxamine;;;Carbinoxamine;;;Carbinoxamine;;;Carbinoxamine;;;Clistin;;;Palgic	CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1
CINNARIZINE	CHEMBL43064	4.0	C26H28N2	516 MD;;;516-MD;;;Cinnarizine;;;Cinnarizine;;;Cinnarizine;;;Cinnarizine;;;Cinnarizine;;;Cinnarizine;;;Cinnarizine;;;Cinnarizine;;;Marzine r.f.;;;Mylan travel sickness;;;R 1575;;;R-1575;;;R 516;;;R-516;;;Stugeron;;;Stugeron;;;Stugeron fte;;;Stunarone;;;Stutgin	C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1
ANTHRALIN	CHEMBL46469	4.0	C14H10O3	Alphodith;;;Anthra-derm;;;Anthralin;;;Anthralin;;;Anthralin;;;Antraderm;;;Dithranol;;;Dithranol;;;Dithranol;;;Dithranol;;;Dithranol;;;Dithrocream;;;Dithrocream fte;;;Dithrocream hp;;;Drithocreme;;;Drithoscalp;;;Lasan;;;Micanol;;;NSC-43970;;;NSC-629313;;;Psoradrate;;;Psorin;;;Psorin fte;;;Stie-lasan	O=C1c2c(O)cccc2Cc2cccc(O)c21
VALDECOXIB	CHEMBL865	4.0	C16H14N2O3S	Bextra;;;SC-65872;;;Valdecoxib;;;Valdecoxib;;;Valdecoxib;;;Valdecoxib;;;Valdecoxib;;;Valdecoxib;;;Valdecoxib;;;Valdecoxib	Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
PARECOXIB SODIUM	CHEMBL296913	4.0	C19H17N2NaO4S	Dynastat;;;Parecoxib sodium;;;Parecoxib sodium;;;Parecoxib sodium;;;Parecoxib sodium salt;;;SC-69124A	CCC(=O)[N-]S(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1.[Na+]
ETHAMBUTOL	CHEMBL44884	4.0	C10H24N2O2	Ethambutol;;;Ethambutol;;;Ethambutol;;;Ethambutol;;;Ethambutol	CC[C@@H](CO)NCCN[C@@H](CC)CO
ETHYL CHLORIDE	CHEMBL46058	4.0	C2H5Cl	Chloroethane;;;Ethyl Chloride;;;Ethyl chloride;;;Ethyl chloride;;;Ethyl chloride;;;Ethyl chloride;;;Ethyl chloride	CCCl
CHLOROFORM	CHEMBL44618	4.0	CHCl3	Chloroform;;;Chloroform;;;Chloroform	ClC(Cl)Cl
MYCOPHENOLIC ACID	CHEMBL866	4.0	C17H20O6	68618;;;Mycophenolate mofetil impurity, mycophenolic acid-;;;Mycophenolic acid;;;Mycophenolic acid;;;Mycophenolic acid;;;Mycophenolic acid;;;Mycophenolic acid;;;Mycophenolic acid;;;Mycophenolic acid;;;Mycophenolic acid;;;Myfortic;;;NSC-129185;;;RS-61443 [AS MOFETIL]	COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
ETOPOSIDE	CHEMBL44657	4.0	C29H32O13	Etoposide;;;Etoposide;;;Etoposide;;;Etoposide;;;Etoposide;;;Etoposide;;;Etoposide;;;Etoposide;;;Etoposide;;;Etoposide;;;Etoposide;;;Etoposide resolution mixture;;;NSC-141540;;;Toposar;;;Vepesid;;;VP-16-213	COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
IOPANOIC ACID	CHEMBL867	4.0	C11H12I3NO2	Iodopanoic acid;;;Iopanoic Acid;;;Iopanoic acid;;;Iopanoic acid;;;Iopanoic acid;;;Iopanoic acid;;;Iopanoic acid;;;Iopanoic acid;;;Jopanoic acid;;;Telepaque	CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O
OMACETAXINE MEPESUCCINATE	CHEMBL46286	4.0	C29H39NO9	CGX-635;;;HOMOHARRINGTONINE;;;NSC-141633;;;Omacetaxine mepesuccinate;;;Omacetaxine mepesuccinate;;;Omacetaxine mepesuccinate;;;Omacetaxine mepesuccinate;;;Omacetaxine mepesuccinate;;;Synribo	COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4
CANTHARIDIN	CHEMBL48449	4.0	C10H12O4	Cantharidin;;;Cantharidin;;;Cantharidin;;;Cantharidin;;;Cantharidin;;;NSC-61805	C[C@]12C(=O)OC(=O)[C@@]1(C)[C@@H]1CC[C@H]2O1
VANCOMYCIN	CHEMBL262777	4.0	C66H75Cl2N9O24	Vancoled;;;Vancomycin;;;Vancomycin;;;Vancomycin;;;Vancomycin;;;Vancomycin;;;Vancomycin;;;Vancomycin;;;Vancor	CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O
NITROFURAZONE	CHEMBL869	4.0	C6H6N4O4	Actin-n;;;Furacilin;;;Furacin;;;Furacine;;;Furazone;;;Nitrofural;;;Nitrofural;;;Nitrofural;;;Nitrofural;;;Nitrofural;;;Nitrofurazone;;;Nitrofurazone;;;Nitrofurazone;;;Nitrofurazone;;;Nitrofurazone;;;Nitrofurazone;;;Nitrofurazone;;;Nitrofurazone;;;NSC-1602;;;NSC-2100	NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
ALENDRONIC ACID	CHEMBL870	4.0	C4H13NO7P2	Alendronate;;;Alendronic Acid;;;Alendronic acid;;;Alendronic acid;;;Alendronic acid;;;Alendronic acid;;;Alendronic acid;;;Alendronic acid;;;Binosto;;;Fosamax;;;Fosamax	NCCCC(O)(P(=O)(O)O)P(=O)(O)O
ETIDRONIC ACID	CHEMBL871	4.0	C2H8O7P2	Didronel;;;Etidronate;;;Etidronic acid;;;Etidronic acid;;;Etidronic acid;;;Etidronic acid;;;Etidronic acid;;;Etidronic acid;;;M05BA01;;;NSC-227995	CC(O)(P(=O)(O)O)P(=O)(O)O
VINBLASTINE	CHEMBL159	4.0	C46H58N4O9	[3H]-Vinblastine;;;NSC-47842;;;Velban;;;Vinblastine;;;Vinblastine;;;Vinblastine;;;Vinblastine;;;Vinblastine	CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
MIBEFRADIL	CHEMBL45816	4.0	C29H38FN3O3	Mibefradil;;;Mibefradil;;;Mibefradil;;;Mibefradil;;;Mibefradil;;;Mibefradil;;;Posicor;;;Posicor 100;;;Posicor 50	COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C
TAFENOQUINE	CHEMBL298470	4.0	C24H28F3N3O3	SB-252263-AAB;;;Tafenoquine;;;Tafenoquine;;;Tafenoquine;;;Tafenoquine;;;Tafenoquine;;;Tafenoquine;;;WR 238605	COc1cc(C)c2c(Oc3cccc(C(F)(F)F)c3)c(OC)cc(NC(C)CCCN)c2n1
CYCLOSPORINE	CHEMBL160	4.0	C62H111N11O12	27-400;;;ANTIBIOTIC S-7481F1;;;Capimune;;;Capsorin;;;Cequa;;;Ciclosporin;;;Ciclosporin;;;Ciclosporin;;;Ciclosporin;;;Ciclosporin;;;Ciclosporin;;;Cyclosporin a;;;Cyclosporin a;;;Cyclosporine;;;Cyclosporine;;;Cyclosporine;;;Cyclosporine;;;Cyclosporine;;;Deximune;;;Gengraf;;;Ikervis;;;Neoral;;;NSC-290193;;;OL-27-400;;;Optimmune;;;Restasis;;;Restasis multidose;;;Sandimmun;;;Sandimmune;;;SANG-35;;;Sangcya;;;SDZ-OXL-400;;;Vanquoral	C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
TRANEXAMIC ACID	CHEMBL877	4.0	C8H15NO2	CL 65336;;;CL-65336;;;Cyklo-f heavy period relief;;;Cyklokapron;;;Exacyl;;;LB1148;;;LB-1148;;;Lysteda;;;Menstralite;;;NSC-291305;;;RP-18429;;;Tranexamic acid;;;Tranexamic acid;;;Tranexamic acid;;;Tranexamic acid;;;Tranexamic acid;;;Tranexamic acid;;;Tranexamic acid;;;Tranexamic acid;;;Tranexamic acid;;;Tranexamic acid;;;Tranexamic acid;;;Trans AMCHA;;;TRANS AMCHA;;;TRANS-AMCHA	NC[C@H]1CC[C@H](C(=O)O)CC1
METOLAZONE	CHEMBL878	4.0	C16H16ClN3O3S	Diulo;;;Metenix;;;Metolazone;;;Metolazone;;;Metolazone;;;Metolazone;;;Metolazone;;;Metolazone;;;Metolazone;;;Metolazone;;;Metolazone;;;Metolazone;;;Metolazone;;;Mykrox;;;SR 720-22;;;SR-720-22;;;Xuret;;;Zaroxolyn	Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
FAMCICLOVIR	CHEMBL880	4.0	C14H19N5O4	BRL-42810;;;Famciclovir;;;Famciclovir;;;Famciclovir;;;Famciclovir;;;Famciclovir;;;Famciclovir;;;Famciclovir;;;Famciclovir;;;Famciclovir;;;Famciclovir;;;Famciclovir;;;Famvir;;;Famvir	CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O
CLENBUTEROL	CHEMBL49080	4.0	C12H18Cl2N2O	Clenbuterol;;;Clenbuterol;;;Clenbuterol;;;Clenbuterol;;;Clenbuterol;;;Clenbuterol hydrochloride;;;NAB 365;;;Spiropent;;;Spiropent mite	CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1
EMTRICITABINE	CHEMBL885	4.0	C8H10FN3O3S	524W91;;;524-W-91;;;BW-524W91;;;Emtricitabine;;;Emtricitabine;;;Emtricitabine;;;Emtricitabine;;;Emtricitabine;;;Emtricitabine;;;Emtricitabine;;;Emtricitabine;;;Emtricitabine;;;Emtriva;;;Emtriva;;;FTC;;;(-)-FTC;;;FTC-(-)	Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F
RASAGILINE	CHEMBL887	4.0	C12H13N	AGN-1135;;;Azilect;;;Rasagiline;;;Rasagiline;;;Rasagiline;;;Rasagiline;;;Rasagiline;;;TV-1030	C#CCN[C@@H]1CCc2ccccc21
GEMCITABINE	CHEMBL888	4.0	C9H11F2N3O4	Gemcitabine;;;Gemcitabine;;;Gemcitabine;;;Gemcitabine;;;Gemcitabine;;;Gemcitabine;;;Gemcitabine;;;Gemcitabine;;;Gemzar;;;Gemzar;;;LY188011;;;LY-188011;;;NSC-613327	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
LACTULOSE	CHEMBL296306	4.0	C12H22O11	Acilac;;;Bifiteral;;;Cephulac;;;Cholac;;;Chronulac;;;Constilac;;;Constulose;;;Duphalac;;;Duphalac dry;;;E966;;;Enulose;;;Evalose;;;Generlac;;;Heptalac;;;Lactulose;;;Lactulose;;;Lactulose;;;Lactulose;;;Lactulose;;;Lactulose;;;Lactulose;;;Lactulose;;;Lactulose;;;Lactulose;;;Lactulose;;;Lactulose jp17;;;Laxilose;;;Laxose orange;;;Lemlax;;;Osmolax;;;Portalac;;;Regulose	OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
SAFINAMIDE MESYLATE	CHEMBL48582	4.0	C18H23FN2O5S	EMD 1195686;;;PNU-151774E;;;Safinamide mesylate;;;Safinamide mesylate;;;Xadago	CS(=O)(=O)O.C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O
CLOXACILLIN	CHEMBL891	4.0	C19H18ClN3O5S	Cloxacillin;;;Cloxacillin;;;Cloxacillin;;;Cloxacillin;;;Cloxacillin;;;Cloxacillin;;;Cloxacillin;;;Cloxapen;;;Orbenin;;;Tegopen	Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12
BUTORPHANOL TARTRATE	CHEMBL299400	4.0	C25H35NO8	Butorphanol tartrate;;;Butorphanol tartrate;;;Butorphanol tartrate;;;Butorphanol tartrate;;;Butorphanol tartrate;;;Butorphanol tartrate;;;Butorphanol tartrate;;;Butorphanol tartrate;;;Butorphanol tartrate;;;Butorphanol tartrate civ;;;Butorphanol tartrate preservative free;;;LEVO-BC-2627 TARTRATE;;;Stadol;;;Stadol ns;;;Stadol preservative free;;;Torbugesic;;;Torbutrol	O=C(O)C(O)C(O)C(=O)O.Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3
DICLOXACILLIN	CHEMBL893	4.0	C19H17Cl2N3O5S	BRL-1702;;;Dicloxacillin;;;Dicloxacillin;;;Dicloxacillin;;;Dicloxacillin;;;Dicloxacillin;;;Dicloxacillin;;;Dicloxacillin;;;Dycill;;;Dynapen;;;Pathocil;;;R-13423	Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12
BUPROPION	CHEMBL894	4.0	C13H18ClNO	Bupropion;;;Bupropion;;;Bupropion;;;Bupropion;;;Bupropion;;;Bupropion	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
NALBUPHINE	CHEMBL895	4.0	C21H27NO4	Nalbuphine;;;Nalbuphine;;;Nalbuphine;;;Nalbuphine;;;Nalbuphine;;;Nalbuphine;;;Nubain	Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314
DEXTROMETHORPHAN	CHEMBL52440	4.0	C18H25NO	Dextromethorphan;;;Dextromethorphan;;;Dextromethorphan;;;Dextromethorphan;;;Dextromethorphan;;;Dimetane-DX	COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3
HYDROXYZINE	CHEMBL896	4.0	C21H27ClN2O2	Atarax;;;Hydroxyzine;;;Hydroxyzine;;;Hydroxyzine;;;Hydroxyzine;;;Hydroxyzine;;;Hydroxyzine;;;NSC-169188;;;Orgatrax	OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
PROBENECID	CHEMBL897	4.0	C13H19NO4S	Benemid;;;Benuryl;;;HC 5006;;;NSC-18786;;;Probalan;;;Probampicin;;;Probecid;;;Probenecid;;;Probenecid;;;Probenecid;;;Probenecid;;;Probenecid;;;Probenecid;;;Probenecid;;;Probenecid;;;Probenecid;;;Probenecid;;;Probenecid	CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1
DIFLUNISAL	CHEMBL898	4.0	C13H8F2O3	Diflunisal;;;Diflunisal;;;Diflunisal;;;Diflunisal;;;Diflunisal;;;Diflunisal;;;Diflunisal;;;Diflunisal;;;Diflunisal;;;Diflunisal;;;Diflunisal;;;Dolobid;;;Dolobid 500	O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
ORPHENADRINE	CHEMBL900	4.0	C18H23NO	Disipal;;;Invagesic;;;Mefenamine;;;Norflex;;;Norgesic;;;Orphenadrine;;;Orphenadrine;;;Orphenadrine;;;Orphenadrine;;;Orphenadrine;;;Orphengesic	Cc1ccccc1C(OCCN(C)C)c1ccccc1
FAMOTIDINE	CHEMBL902	4.0	C8H15N7O2S3	Famotidine;;;Famotidine;;;Famotidine;;;Famotidine;;;Famotidine;;;Famotidine;;;Famotidine;;;Famotidine;;;Famotidine;;;Famotidine;;;Famotidine;;;Famotidine preservative free;;;Famotidine preservative free (pharmacy bulk);;;Fluxid;;;L 643341;;;MK-208;;;Pepcid;;;Pepcid ac;;;Pepcid preservative free;;;Pepcid rpd;;;YM-11170	NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1
ISOXICAM	CHEMBL53292	4.0	C14H13N3O5S	Isoxicam;;;Isoxicam;;;Isoxicam;;;Maxicam;;;W 8495	Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1
DOXORUBICIN	CHEMBL53463	4.0	C27H29NO11	Adriamycin;;;Adriblastina;;;Doxil;;;Doxorubicin;;;Doxorubicin;;;Doxorubicin;;;Doxorubicin;;;Doxorubicin;;;Doxorubicin;;;Doxorubicin;;;Epirubicin hydrochloride impurity, doxorubicin-;;;Hydroxydaunorubicin;;;NSC-123127;;;Rubex;;;Valrubicin impurity, doxorubicin	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
DEXMETHYLPHENIDATE HYDROCHLORIDE	CHEMBL904	4.0	C14H20ClNO2	Dexmethylphenidate hydrochloride;;;Dexmethylphenidate hydrochloride;;;Dexmethylphenidate hydrochloride;;;Dexmethylphenidate hydrochloride;;;Dexmethylphenidate hydrochloride;;;Focalin;;;Focalin xr;;;Methylphenidate d-threo-form hydrochloride	COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1.Cl
RIZATRIPTAN	CHEMBL905	4.0	C15H19N5	L-705126;;;Maxalt;;;Maxalt;;;Maxalt-Mlt;;;MK-462;;;MK-462 FREE BASE;;;Rizatriptan;;;Rizatriptan;;;Rizatriptan;;;Rizatriptan;;;Rizatriptan;;;Rizatriptan;;;Rizatriptan	CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12
NEOSTIGMINE BROMIDE	CHEMBL54126	4.0	C12H19BrN2O2	Neostigmine;;;Neostigmine bromide;;;Neostigmine bromide;;;Neostigmine bromide;;;Neostigmine bromide;;;Neostigmine bromide;;;Neostigmine bromide	CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-]
CHLORPROTHIXENE	CHEMBL908	4.0	C18H18ClNS	Chlorprothixene;;;Chlorprothixene;;;Chlorprothixene;;;Chlorprothixene;;;Chlorprothixene;;;Chlorprothixene;;;Chlorprothixene;;;Chlorprothixene;;;Chlorprothixene;;;Chlorprothixene;;;N-714;;;N-714RO 4-0403;;;NSC-18720;;;RO 4-0403;;;RO-40403;;;RO-4-0403;;;Taractan;;;Truxal	CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
ZOLPIDEM	CHEMBL911	4.0	C19H21N3O	Ambien;;;Zolpidem;;;Zolpidem;;;Zolpidem;;;Zolpidem;;;Zolpidem;;;Zolpidem;;;Zolpidem civ	Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
FEXOFENADINE	CHEMBL914	4.0	C32H39NO4	Allegra;;;Fexofenadine;;;Fexofenadine;;;Fexofenadine;;;Fexofenadine;;;Fexofenadine;;;Fexofenadine;;;Fexofenadine	CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
NEDOCROMIL SODIUM	CHEMBL915	4.0	C19H15NNa2O7	Alocril;;;FPL 59002KP;;;FPL-59002KP;;;Nedocromil sodium;;;Nedocromil sodium;;;Nedocromil sodium;;;Nedocromil sodium;;;Nedocromil sodium;;;Rapitil;;;Tilade;;;Tilarin	CCCc1c2oc(C(=O)[O-])cc(=O)c2cc2c(=O)cc(C(=O)[O-])n(CC)c12.[Na+].[Na+]
TIROFIBAN	CHEMBL916	4.0	C22H36N2O5S	Aggrastat;;;L-700462;;;MK-383;;;Tirofiban;;;Tirofiban;;;Tirofiban;;;Tirofiban;;;Tirofiban;;;Tirofiban	CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O
DANTHRON	CHEMBL53418	4.0	C14H8O4	Chrysazin;;;Danthron;;;Danthron;;;Danthron;;;Dantron;;;Dantron;;;Dantron;;;Dorbane;;;Istizin	O=C1c2cccc(O)c2C(=O)c2c(O)cccc21
FLOXURIDINE	CHEMBL917	4.0	C9H11FN2O5	5-Fluoro-2-deoxyuridine;;;Floxuridine;;;Floxuridine;;;Floxuridine;;;Floxuridine;;;Floxuridine;;;Floxuridine;;;Floxuridine;;;Floxuridine;;;Floxuridine;;;Fluoruridine deoxyribose;;;FUDR;;;FUDR;;;Fudr;;;F.u.d.r.;;;NSC-27640	O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
PHENACEMIDE	CHEMBL918	4.0	C9H10N2O2	Phenacemide;;;Phenacemide;;;Phenacemide;;;Phenacemide;;;Phenacemide;;;Phenacemide;;;Phenurone	NC(=O)NC(=O)Cc1ccccc1
FOSPHENYTOIN SODIUM	CHEMBL919	4.0	C16H13N2Na2O6P	ACC-9653-010;;;ACC-9653-010 (SODIUM SALT);;;Cerebyx;;;CI-982;;;Fosphenytoin sodium;;;Fosphenytoin sodium;;;Fosphenytoin sodium;;;Fosphenytoin sodium;;;Fosphenytoin sodium;;;Fosphenytoin sodium;;;Pro-epanutin;;;Sesquient	O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)([O-])[O-].[Na+].[Na+]
ALPIDEM	CHEMBL54349	4.0	C21H23Cl2N3O	Alpidem;;;Alpidem;;;Alpidem;;;Alpidem;;;SL 80.0342-00	CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12
ADEFOVIR DIPIVOXIL	CHEMBL922	4.0	C20H32N5O8P	Adefovir di(pivaloyloxymethyl) ester;;;Adefovir dipivoxil;;;Adefovir dipivoxil;;;Adefovir dipivoxil;;;Adefovir dipivoxil;;;Adefovir dipivoxil;;;Adefovir dipivoxil;;;Adefovir dipivoxil;;;Adefovir pivoxil;;;GS-0840;;;Hepsera;;;Hepsera	CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C
CEFTRIAXONE	CHEMBL161	4.0	C18H18N8O7S3	Ceftriaxone;;;Ceftriaxone;;;Ceftriaxone;;;Ceftriaxone;;;Ceftriaxone;;;Ceftriaxone	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1
RISEDRONIC ACID	CHEMBL923	4.0	C7H11NO7P2	Actonel;;;M05BA07;;;NE-58095;;;Risedronate;;;Risedronic acid;;;Risedronic acid;;;Risedronic acid;;;Risedronic acid;;;Risedronic acid	O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O
ZOLEDRONIC ACID	CHEMBL924	4.0	C5H10N2O7P2	Aclasta;;;AK-156;;;CGP 42446;;;CGP-42446;;;CGP-42446A;;;Reclast;;;Zerlinda;;;Zoledronic acid;;;Zoledronic acid;;;Zoledronic acid;;;Zoledronic acid;;;Zoledronic acid;;;Zoledronic acid;;;Zoledronic acid;;;Zoledronic acid;;;Zoledronic acid;;;Zoledronic acid;;;Zoledronic acid hydrate;;;Zoledronic acid monohydrate;;;Zoledronic acid monohydrate;;;Zometa;;;Zometa	O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
ANIDULAFUNGIN	CHEMBL264241	4.0	C58H73N7O17	Anidulafungin;;;Anidulafungin;;;Anidulafungin;;;Anidulafungin;;;Anidulafungin;;;Anidulafungin;;;Anidulafungin;;;D70013;;;Ecalta;;;Eraxis;;;LY303366;;;LY-303366;;;VER002;;;VER-002	CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1
TYROSINE	CHEMBL925	4.0	C9H11NO3	FEMA NO. 3736;;;Levodopa impurity, l-tyrosine-;;;Levodopa related compound l-tyrosine;;;L-tyrosine;;;L-tyrosine;;;NSC-82624;;;Tyrosine;;;Tyrosine;;;Tyrosine;;;Tyrosine;;;Tyrosine;;;Tyrosine	N[C@@H](Cc1ccc(O)cc1)C(=O)O
